Gryffindor,Slytherin,Ravenclaw,Hufflepuff
-2.741925830655766561e+00,-2.930391470473341808e+00,-2.186671544490039754e+00,-1.940926133616955651e+00
-5.057682636930244113e-01,6.289710789178409867e-02,8.854695398090964287e-02,-5.863324995330192885e-02
-8.760489369188927400e-01,-1.126539422600438156e+00,1.358077791286767602e-02,1.873200621787185938e+00
5.440241496357711704e-01,-2.078060862200461045e+00,-1.765380753593458751e-01,1.815369708769732027e+00
-2.804475931628808150e-01,1.723494668141663244e-01,1.426445424347996482e+00,-1.701391086623641247e+00
9.276128984949868483e-01,-5.264141799039888658e-01,1.709004056998550070e+00,-1.909295743973969950e+00
-7.571800942300536130e-01,-2.938886158008063298e-01,3.454159634386614330e-01,8.543132300345002150e-01
-1.076666719596214072e+00,5.696589993401750540e-01,5.310208236092511802e-01,3.471305790678025360e-01
-3.164380197916558113e-01,8.758497922469451469e-01,-2.368264162228174430e-01,-5.889290951630391513e-01
1.066825165089180759e-02,-6.831280479189379140e-02,5.750262384137587446e-02,-2.785047281236464195e-02
-4.249193916924648984e-01,-2.204836317589835837e-01,1.438137676109317642e+00,-7.016033344832439678e-01
6.494525329143884251e-01,-7.217030552809465815e-01,-3.547144519406091878e-01,9.010934500034410710e-02
